"# CUDA_PROFILE_LOG_VERSION 1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# CUDA_PROFILE_CSV 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# CUDA_DEVICE_NAME 0 GeForce GTX 260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"timestamp","method","gputime","cputime","occupancy","gridSizeX","gridSizeY","blockSizeX","blockSizeY","blockSizeZ","dynSmemPerBlock","staSmemPerBlock","registerPerThread","streamID","memTransferSize","memTransferDir","gld_coherent","gst_coherent","local_load","local_store","branch","divergent_branch","instructions","warp_serialize","cta_launched","gld_32b","gld_64b","gld_128b","gst_32b","gst_64b","gst_128b"
9291,"memcopy",72.26,161,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
9484,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",15.74,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,224,16,3028,0,8,124,0,0,0,366,0
9568,"_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf",4755.1,4770,1,240,16,8,8,8,0,96,13,0,,,700075,353124,0,0,50436,1972,492458,0,480,691648,5614,2813,176562,0,0
14378,"memcopy",143.62,155,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
14545,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",16.51,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,336,24,5013,0,8,124,0,0,0,366,0
14621,"_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf",4755.52,4769,1,240,16,8,8,8,0,96,13,0,,,698356,354032,0,0,50930,1939,495113,0,480,689782,5725,2849,177016,0,0
19425,"memcopy",143.07,158,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
19594,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",16.54,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,310,22,4617,0,8,124,0,0,0,366,0
19668,"_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf",4732.26,4746,1,240,16,8,8,8,0,96,13,0,,,700539,354880,0,0,52469,1941,501657,0,480,692102,5612,2825,177440,0,0
24450,"memcopy",143.07,155,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
24616,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",16.45,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,224,16,3394,0,8,124,0,0,0,366,0
24688,"_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf",4709.06,4722,1,240,16,8,8,8,0,96,13,0,,,711405,355752,0,0,50439,1934,492604,0,480,703396,5354,2655,177876,0,0
29446,"memcopy",143.01,158,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
29616,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",16.48,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,336,24,5011,0,8,124,0,0,0,366,0
29689,"_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf",4753.22,4766,1,240,16,8,8,8,0,96,13,0,,,726027,356636,0,0,50939,1941,495574,0,480,718268,5166,2593,178318,0,0
34492,"memcopy",143.3,157,,,,,,,,,,,179200,0,,,,,,,,,,,,,,,
34659,"_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff",16.42,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,310,22,4617,0,8,124,0,0,0,366,0
