# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce GTX 260
timestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memTransferDir,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b
9336,memcopy,71.616,161,,,,,,,,,,,179200,0
9530,_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff,15.264,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,224,16,3024,0,8,124,0,0,0,366,0
9613,_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf,999.456,1013,1,128,124,120,1,1,0,108,10,0,,,126966,51754,0,0,26414,1117,279873,0,1984,51038,39064,36864,1819,12029,0
10666,memcopy,142.944,156,,,,,,,,,,,179200,0
10833,_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff,16.896,30,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,224,16,3413,0,8,124,0,0,0,366,0
10905,_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf,995.232,1009,1,128,124,120,1,1,0,108,10,0,,,127034,51806,0,0,26434,1120,280257,0,1984,51235,38901,36898,1821,12041,0
11949,memcopy,142.688,158,,,,,,,,,,,179200,0
12118,_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff,16.672,29,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,224,16,3395,0,8,124,0,0,0,366,0
12191,_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf,1003.07,1016,1,128,124,120,1,1,0,108,10,0,,,127043,51784,0,0,26418,1118,279885,0,1984,49689,37430,35363,1820,12036,0
13243,memcopy,142.72,155,,,,,,,,,,,179200,0
13410,_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff,16.672,29,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,336,24,5031,0,8,124,0,0,0,366,0
13482,_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf,996.544,1009,1,128,124,120,1,1,0,108,10,0,,,126876,51762,0,0,26373,1116,279370,0,1984,49650,37325,35430,1819,12031,0
14527,memcopy,142.592,157,,,,,,,,,,,179200,0
14695,_Z19fdk_ts_back1_kernelPfS_iiiffffffPKhhffiiiffffPKff,16.64,29,1,8,8,16,16,1,0,132,13,0,,,124,1464,0,0,336,24,5010,0,8,124,0,0,0,366,0
14768,_Z21fdk_ts_back1_kernel_2PfS_iiiffPKhhiiffPKf,996.224,1008,1,128,124,120,1,1,0,108,10,0,,,126968,51832,0,0,26393,1118,279754,0,1984,49993,37085,35420,1822,12047,0
15812,memcopy,142.624,154,,,,,,,,,,,179200,0
